employeeID,CountryOfBirth,name,phone,email,gender,birthdate,hiredate,department,role,salary,SSID
287732058,USA,Lori Valentine DDS,791.859.5687x985,andrewwhitehead_75@example.com,male,1973-03-05,2019-09-20,Engineering,Software Engineer,99433,556-60-0373
474301540,USA,Emily Johnson,605.420.6114x225,aherrera_76@example.com,female,1992-11-12,2019-06-26,Finance,Financial Analyst,77319,623-36-6529
620965695,USA,Joseph Dennis,428.571.0199,anthony27_77@example.com,male,2005-02-23,2023-11-03,HR,HR Manager,94914,238-14-7775
227269556,USA,Margaret Cowan,858-478-6019x48484,amitchell_78@example.com,male,1963-11-04,2019-03-15,HR,Recruiter,79452,691-78-2216
413911906,Mexico,Violeta David Barrera,346.880.4249,conchita80_79@example.com,male,1988-09-07,2016-08-17,Finance,Financial Analyst,66852,487-93-4395
590529034,USA,Juan Copeland,4845177629,xgonzalez_80@example.com,female,1981-01-02,2023-06-19,Finance,Accountant,71661,202-33-1771
630718883,USA,Colleen Schneider,(212)998-5048x472,mosskeith_81@example.com,female,1980-04-11,2021-12-13,HR,HR Manager,96195,784-62-3679
747675527,USA,Matthew Jackson,(241)901-1603x5878,michael37_82@example.com,female,1991-03-07,2018-05-21,Sales,Sales Executive,80473,255-01-2648
367205521,USA,Patricia Walsh,001-730-661-7501x8253,amanda44_83@example.com,male,1969-04-22,2018-06-12,Finance,Accountant,83670,185-70-9380
473137581,USA,Kathryn Miranda,001-549-235-0277x79307,michael00_84@example.com,male,1963-07-04,2011-06-18,HR,HR Manager,71286,133-70-4585
428027178,India,Nisha Ramakrishnan,(531)732-1844,adya89_85@example.com,male,1963-05-27,2020-01-13,Engineering,DevOps Engineer,89567,887-59-1951
247582856,USA,Theresa Wolfe,001-888-597-6492x9931,rachel09_86@example.com,male,1993-02-27,2014-01-23,HR,Recruiter,66318,127-94-2830
508511207,USA,Erica Smith,+1-972-825-9558,zachary12_87@example.com,male,1961-07-02,2022-11-10,Finance,Accountant,77783,651-50-8548
575424143,USA,Jesus Velazquez,+1-358-606-5976x009,barbarahoward_88@example.com,female,1968-10-16,2021-01-16,Engineering,DevOps Engineer,125366,160-99-2341
369274665,USA,Courtney Morales,700.607.6399,garrett36_89@example.com,male,1989-06-23,2015-05-24,Sales,Account Manager,63970,603-35-0294
218176104,USA,Diana Phillips,(462)704-7212x57982,carteramber_90@example.com,male,1964-12-30,2016-10-05,Finance,Accountant,64949,290-11-6776
483399458,USA,Julie Jones,(220)310-5958x0244,ashley94_91@example.com,male,1960-07-15,2016-02-22,Engineering,Software Engineer,103288,283-89-2320
835995213,USA,David Murphy,849.801.7840,toddgreen_92@example.com,female,1989-04-26,2016-08-03,Finance,Accountant,78993,369-60-7294
170382493,USA,Jamie Graham,6263250148,dale96_93@example.com,male,1980-12-01,2011-10-01,HR,HR Manager,94908,358-09-0349
704541610,USA,John Owens,(372)553-9515,marywelch_94@example.com,female,1981-01-09,2012-01-14,HR,HR Manager,96891,218-77-7876
553684955,USA,Elizabeth Barton,+1-240-518-6146x186,egarcia_95@example.com,male,1982-12-27,2018-02-28,Engineering,Software Engineer,133196,423-45-4514
138748299,USA,Timothy Hayes,(795)786-6757,adoyle_96@example.com,male,1980-02-13,2020-03-16,Finance,Accountant,76107,298-85-1173
552152025,USA,Samantha Price,001-648-606-9641x598,cobbjanice_97@example.com,male,1962-03-19,2012-12-27,Finance,Accountant,63531,345-95-7606
448819847,USA,Kaitlin Klein,+1-645-641-1471x817,thomasjonathan_98@example.com,female,1986-10-02,2022-04-25,Sales,Sales Executive,56996,524-59-7336
504725682,USA,Veronica Gill,584.589.2208,dpetty_99@example.com,male,1964-07-26,2018-10-09,HR,Recruiter,71208,352-31-5394
847302418,USA,David Willis,001-631-505-9525,ryan28_100@example.com,male,1994-08-15,2017-04-19,Engineering,Software Engineer,81030,632-03-4271
476175870,USA,Tonya Flores,001-367-753-5552x5484,caitlin26_101@example.com,male,1990-04-03,2022-04-23,Engineering,DevOps Engineer,113885,348-50-1033
123145087,USA,Andrew Duffy,+1-626-872-7009x91567,smoss_102@example.com,female,1977-10-17,2014-08-19,Engineering,Software Engineer,117794,507-20-8673
443289163,USA,Stephanie Clark,(947)538-5031,sherry30_103@example.com,female,1987-05-30,2019-01-11,Sales,Sales Executive,89446,434-78-2108
240546783,USA,Hailey Weber,001-472-721-5015x33264,ejohnson_104@example.com,female,1976-02-08,2014-11-05,Sales,Sales Executive,74997,421-61-3140
899529401,Taiwan,陳柏霖,898-354-5275,chih-chiang69_105@example.com,female,1997-07-24,2022-11-10,Engineering,DevOps Engineer,92785,307-13-4060
771985442,India,Amrita Bora,470.378.4306,ekbalswamy_106@example.com,female,1999-12-08,2020-01-16,Sales,Sales Executive,67241,089-22-0518
687509800,South Korea,민상현,(722)218-0354x9760,simsumin_107@example.com,male,1974-01-27,2010-07-02,Engineering,Software Engineer,88493,622-22-2060
383642587,USA,Daniel Jackson,(827)666-8341,john46_108@example.com,female,1972-04-09,2017-06-19,Engineering,Software Engineer,108759,334-13-5043
857119235,Canada,Brianna Lamb,3482667107,zacharythomas_109@example.com,female,1988-02-01,2022-11-18,Engineering,DevOps Engineer,103404,236-16-4841
934569424,USA,William Mcdonald,309.682.6327x694,victoriawright_110@example.com,female,2001-06-26,2021-03-21,Sales,Account Manager,69047,539-78-4737
645842181,India,Ikbal Ben,+1-978-466-2765,ria97_111@example.com,female,1982-09-03,2012-09-14,Finance,Financial Analyst,78027,575-15-1338
605262303,USA,Samantha Morrison,+1-799-648-5694x27051,loristevens_112@example.com,male,1966-01-18,2018-11-01,HR,HR Manager,81299,540-77-8582
388388091,USA,Deanna Berry,001-290-447-0425x80282,kimberly35_113@example.com,male,2000-10-30,2022-01-04,Engineering,Software Engineer,127680,168-64-4453
147041148,Canada,Adrian Ortiz,617.823.4119,pruittkatelyn_114@example.com,female,1981-10-20,2010-04-26,Engineering,DevOps Engineer,93156,714-89-0310
942107851,India,Oeshi Chopra,426-785-4159x46955,esama_115@example.com,female,1960-04-20,2015-11-05,Sales,Account Manager,93148,343-01-0618
216792789,USA,Mrs. Amy Estrada PhD,(786)263-2222x8564,karen70_116@example.com,male,1968-05-06,2011-01-13,Engineering,Software Engineer,124299,131-40-5740
210880959,USA,Danielle Walker,+1-288-710-6478x118,hollyallen_117@example.com,male,1988-10-19,2013-08-09,Sales,Account Manager,93282,081-96-1434
480184243,South Korea,이하은,+1-863-283-8610x033,seonghuni_118@example.com,female,1990-02-19,2020-01-09,Finance,Financial Analyst,76715,614-58-2123
338774613,USA,Jared Wright,(867)490-3499x60724,cassidystevens_119@example.com,female,1969-06-03,2016-09-01,Engineering,DevOps Engineer,121987,054-17-6795
272057887,USA,Leslie Brown,9094068155,rjimenez_120@example.com,male,1972-11-19,2021-04-17,Sales,Account Manager,60294,672-99-6126
982234277,USA,Jody Norman,603.731.2116x27338,sharon09_121@example.com,female,1978-01-28,2014-10-16,Sales,Sales Executive,76491,815-24-5854
576303087,USA,Thomas West,605.850.9327,richard00_122@example.com,male,1995-09-06,2017-04-18,Finance,Financial Analyst,87765,649-51-0408
354884507,USA,Marc Wagner,001-907-787-9896x7598,reedkathryn_123@example.com,male,1977-10-28,2021-12-16,Finance,Financial Analyst,68326,464-04-2790
513873360,USA,Anna Hayes,446.848.0886x9110,dennisbonilla_124@example.com,female,2001-01-30,2022-03-03,Finance,Financial Analyst,74509,895-94-4406
968094413,India,Jatin Luthra,301-734-6618x62992,ganga10_125@example.com,female,1969-06-08,2011-06-03,HR,HR Manager,83078,182-85-2837
551700883,USA,Jennifer Santos,+1-833-454-8228,dgonzales_126@example.com,female,1961-03-12,2019-12-08,Sales,Account Manager,84560,868-50-7519
505043518,Taiwan,魏玉梅,9266281642,kaoli-mei_127@example.com,male,1967-09-11,2017-11-17,Sales,Account Manager,81411,741-88-2252
607159839,USA,Sarah Jackson,+1-877-592-8973x028,evanssarah_128@example.com,male,1999-03-06,2019-11-19,HR,Recruiter,77249,498-79-4719
204749569,USA,Victoria Bowen,(607)766-4394,tnorton_129@example.com,female,1978-03-19,2020-05-28,Sales,Sales Executive,75035,560-75-1244
568716281,USA,Logan Walker,228-648-7749x0416,bwhite_130@example.com,male,2001-03-26,2021-08-11,HR,HR Manager,91002,890-85-4296
591691691,Mexico,Esteban Juárez,990-263-8985,ernestolugo_131@example.com,female,1992-05-16,2016-01-07,Sales,Account Manager,93437,674-36-7780
538099002,USA,Julia Silva,+1-640-623-0157x7420,glenn94_132@example.com,male,1968-06-09,2020-07-16,Engineering,Software Engineer,127996,667-68-6212
406262083,USA,Adam Smith,9979058798,danielsmith_133@example.com,male,1988-08-19,2011-12-17,Engineering,Software Engineer,133948,498-88-7691
977209169,USA,Edward Walsh,001-995-765-1787x2306,johnsonlisa_134@example.com,male,1979-02-17,2017-11-07,HR,Recruiter,77656,502-76-6518
851116744,USA,Teresa Little,+1-370-594-4622,vwaller_135@example.com,male,2003-02-14,2023-11-17,HR,HR Manager,73849,884-75-0748
438648269,USA,Betty Tanner,001-580-256-2815x89608,sarahbooth_136@example.com,male,1988-03-13,2020-06-17,Finance,Financial Analyst,69832,720-24-8038
626984121,Taiwan,徐秀蓮,358.517.7540x800,hsiu-chin28_137@example.com,male,1969-05-03,2021-04-16,Sales,Sales Executive,78724,624-17-9481
318841473,India,Gautam Murty,(916)699-4568x546,farhanjoshi_138@example.com,male,1991-06-12,2018-04-27,Sales,Account Manager,90450,120-35-1384
220174066,USA,Mario Thompson,9446568481,ncarrillo_139@example.com,male,1979-12-18,2010-10-05,HR,Recruiter,75386,669-97-3810
186086227,USA,Hunter Ortega,704.442.6700,smithemily_140@example.com,female,1968-04-09,2017-12-06,Engineering,Software Engineer,127275,882-18-1603
110215371,India,Madhav Sachdev,(983)473-5584x548,sundaramneel_141@example.com,male,1971-11-02,2023-06-15,Finance,Financial Analyst,90418,270-26-7800
494104879,USA,Brian Webster,001-392-710-6038x0072,karen08_142@example.com,female,1994-12-12,2014-05-04,Engineering,DevOps Engineer,96168,712-84-1438
744565095,USA,Adam Ortiz,+1-289-592-6152x30315,sstone_143@example.com,male,1987-06-23,2014-01-11,Finance,Financial Analyst,77781,527-65-9557
579201591,USA,Crystal Burgess,001-646-499-8319x00663,starkedwin_144@example.com,female,1988-12-18,2018-01-24,HR,HR Manager,88570,884-75-3335
979554346,USA,Scott Jones,001-506-369-4921x737,jenniferjohnson_145@example.com,female,1986-08-30,2011-05-09,Finance,Financial Analyst,87290,469-27-1284
730044365,India,Chandani Singh,(787)332-1070x719,suhani91_146@example.com,male,1966-07-05,2019-06-24,Finance,Accountant,70498,822-22-3569
788232533,USA,Lisa Cannon,+1-260-355-6945x5128,allensamuel_147@example.com,female,1987-06-19,2023-07-21,Sales,Sales Executive,51314,493-48-1455
255600164,China,马洁,(419)952-9012x842,daixiuying_148@example.com,female,1997-08-12,2021-04-14,HR,Recruiter,57351,628-60-2275
525168487,India,Lavanya Sane,221-901-4965,gaurav40_149@example.com,male,1966-02-26,2017-02-20,Sales,Sales Executive,67706,539-47-7004
543336349,USA,Wendy Robles,466.372.0937x764,bensonwilliam_150@example.com,male,1989-02-01,2011-11-17,Finance,Financial Analyst,74124,204-76-5730
144722186,Canada,Sabrina Randall,427.649.0544x581,mooresarah_151@example.com,female,1963-03-18,2018-12-24,Finance,Financial Analyst,66892,392-67-6038
622794196,USA,Natalie Hill,001-450-808-5283,gregory22_152@example.com,female,1994-09-25,2015-05-16,Engineering,Software Engineer,117901,681-85-4486
196811248,China,王宇,+1-767-580-4897x656,weijie_153@example.com,female,2005-01-08,2023-12-12,Finance,Financial Analyst,93157,397-09-3440
646728288,USA,Kimberly Chavez,805-275-2232,elizabethfoley_154@example.com,female,1959-12-10,2019-04-08,Engineering,Software Engineer,104674,057-21-9289
399088072,USA,Wendy Oconnell,539.212.0364x88315,sarahlowe_155@example.com,female,2000-09-29,2020-04-23,Finance,Accountant,72846,372-23-9718
857908468,USA,Joe Rogers,685-634-1664x38620,daltonrodney_156@example.com,male,1964-07-10,2012-02-18,Engineering,DevOps Engineer,104591,045-21-5411
419253835,USA,Cheryl Jones,735-664-8221,humphreyanne_157@example.com,male,1971-05-15,2018-09-20,HR,Recruiter,73922,165-42-2334
991324224,USA,Robert Harris,+1-751-632-8821x92859,zsmith_158@example.com,male,1989-09-30,2021-01-13,Engineering,DevOps Engineer,97415,802-58-7056
680586970,USA,Connor Hendricks,402-665-9259,alexis26_159@example.com,male,1967-08-10,2010-12-16,Engineering,Software Engineer,102762,876-93-6266
957770526,USA,Steven Anderson,001-831-332-7188x37613,lewissamantha_160@example.com,female,1969-09-27,2014-09-25,Finance,Financial Analyst,89475,805-18-6003
302284664,USA,Jody Griffith,8227028623,ronald96_161@example.com,male,1960-05-29,2020-03-19,Sales,Account Manager,72069,588-54-9070
786041481,USA,Jessica Reyes,+1-559-429-6692x15759,longmark_162@example.com,female,1964-05-26,2021-02-12,Sales,Sales Executive,71452,316-20-6469
355322347,USA,Gregory Grant,(207)416-2968x164,theresapittman_163@example.com,male,1963-09-05,2010-10-02,Engineering,DevOps Engineer,124385,502-36-5563
611101055,USA,Michael Strong,(507)789-1239,robert28_164@example.com,male,2000-12-07,2020-10-01,HR,Recruiter,74742,847-06-3549
547276976,USA,Erik Mitchell,001-783-793-8174x00340,andrewseric_165@example.com,female,1980-08-13,2017-12-10,Finance,Accountant,82136,762-92-8946
859898250,Mexico,Víctor Castañeda Acuña,5029913792,rodolfo53_166@example.com,female,1999-10-01,2022-05-07,Engineering,DevOps Engineer,91677,349-08-5302
430800091,South Korea,박성현,692-310-0629,ugu_167@example.com,female,1964-05-22,2013-01-23,Engineering,DevOps Engineer,114354,665-85-4031
750195913,USA,Wayne Lee,001-785-278-9419x61152,eharris_168@example.com,male,1964-10-14,2015-04-25,Sales,Account Manager,79341,346-21-8447
287366996,USA,Angela Fuller,(877)563-2552x563,vdickerson_169@example.com,female,2001-02-10,2023-12-20,Engineering,DevOps Engineer,105795,293-82-2738
917425598,USA,Tamara Schneider,637-915-8791x9927,heatherallen_170@example.com,female,1963-01-11,2013-07-24,Finance,Accountant,74328,480-83-9289
171544986,USA,James Henderson,554.770.7322,humphreydesiree_171@example.com,female,1999-04-12,2023-12-28,Finance,Financial Analyst,77177,259-77-0459
555183255,India,Neel Vohra,9842625769,tripti13_172@example.com,female,1964-12-29,2015-11-26,Engineering,Software Engineer,138905,047-05-2349
728474582,USA,Paul Rice,433.868.7883x74039,brian58_173@example.com,male,1981-12-14,2011-04-27,Engineering,DevOps Engineer,117240,438-62-9510
563904996,USA,Michael Leblanc,001-754-922-7791x412,daniel76_174@example.com,female,1997-01-28,2018-07-22,Finance,Accountant,76540,720-62-0623
433660131,Taiwan,李秀英,380.878.6803,chenhui-ling_175@example.com,female,1997-08-09,2020-03-11,Finance,Financial Analyst,86617,856-79-8629
719324801,USA,Ronnie Mahoney,+1-414-995-5643,alicia77_176@example.com,female,1964-04-27,2018-05-01,Engineering,DevOps Engineer,114138,885-80-2958
198225907,China,车秀华,+1-745-250-9142,liyang_177@example.com,male,1987-05-18,2016-08-25,Engineering,Software Engineer,103886,096-61-6046
624601416,India,Oeshi Mistry,4493397229,yshah_178@example.com,female,1999-04-22,2022-01-28,Finance,Financial Analyst,77969,022-89-0732
955796226,USA,Thomas Conway,2105710107,edwin64_179@example.com,nonbinary,1960-07-05,2017-10-22,Engineering,Software Engineer,83296,119-81-9936
910730686,China,陈欣,+1-697-307-0102,ming22_180@example.com,female,1972-09-23,2017-12-26,HR,HR Manager,84853,806-86-6560
724124985,USA,Patricia Martin,001-863-721-6456x5863,coxmichael_181@example.com,female,1963-12-18,2016-03-13,Finance,Accountant,69545,797-02-1113
795488720,USA,Jeffrey Shaw,(614)988-2742,hortonrobert_182@example.com,female,1970-09-06,2014-02-12,Engineering,DevOps Engineer,91292,713-20-5828
371191461,USA,Meghan Hunter,001-217-830-4401,sara03_183@example.com,male,1998-12-27,2023-04-28,Sales,Sales Executive,70998,638-12-7879
116472875,USA,Nicholas Petersen,722-724-8943x86642,tmiller_184@example.com,nonbinary,1988-01-08,2019-03-27,Finance,Accountant,72886,780-91-7517
993650840,USA,Henry Farley,(238)697-5014,gdavis_185@example.com,male,1972-09-19,2013-08-02,HR,HR Manager,71145,443-80-6250
133128852,India,Yochana Khalsa,+1-415-209-0985x30850,uppalbakhshi_186@example.com,male,1994-08-06,2023-03-27,Finance,Financial Analyst,71477,752-24-4780
654836733,USA,Bradley Winters,(412)601-1834,jsalazar_187@example.com,male,1961-09-04,2014-03-21,HR,Recruiter,69007,410-19-0562
